0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:15 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:16 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:18 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 5292
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:18 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:18 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:19 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:20 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:20 +0800] "GET /Int_Prog_2/dtr?page=dtr HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:21 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:21 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [24/May/2021:06:40:22 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:06 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:24 +0800] "GET /Int_Prog_2/report?page=report HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:26 +0800] "GET /Int_Prog_2/report?page=report&id=32 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:32 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/25/2021 HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:33 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/25/2021 HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:48 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:50 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 5473
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:50 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:50 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:51 +0800] "GET /Int_Prog_2/report?page=report&id=28 HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:52 +0800] "GET /Int_Prog_2/report?page=report&id=28 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:52 +0800] "GET /Int_Prog_2/report?page=report&id=28 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:53 +0800] "GET /Int_Prog_2/report?page=report&id=28 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:55 +0800] "GET /Int_Prog_2/report?page=report&id=28 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:58 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/24/2021 HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [24/May/2021:06:41:59 +0800] "GET /Int_Prog_2/report?page=report&id=28&dateStart=5/01/2021&dateEnd=5/24/2021 HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [24/May/2021:06:42:18 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
