0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:53 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:54 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:54 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:54 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:55 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:55 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 2866
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:57 +0800] "GET /Int_Prog_2/employee?id=28 HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:57 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:34:59 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:00 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:00 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:01 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:09 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:09 +0800] "GET /Int_Prog_2/employee?id=29 HTTP/1.1" 200 3298
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:09 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:11 +0800] "GET /Int_Prog_2/register?page=register HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:13 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:13 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:35:13 +0800] "GET /Int_Prog_2/employee?page=view HTTP/1.1" 200 3446
